IP #AbuseIPDB Abuse Score;AbuseIPDB Unique Reports;OTX AlienVault Pulse Count;AbuseIPDB URL;OTX AlienVault URL;Status;Action
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
179.43.152.115 #100;1339;7;https://www.abuseipdb.com/check/179.43.152.115;https://otx.alienvault.com/indicator/ip/179.43.152.115;Malicious;Block
179.43.152.115 #100;1339;7;https://www.abuseipdb.com/check/179.43.152.115;https://otx.alienvault.com/indicator/ip/179.43.152.115;Malicious;Block
179.43.152.115 #100;1339;7;https://www.abuseipdb.com/check/179.43.152.115;https://otx.alienvault.com/indicator/ip/179.43.152.115;Malicious;Block
179.43.152.115 #100;1339;7;https://www.abuseipdb.com/check/179.43.152.115;https://otx.alienvault.com/indicator/ip/179.43.152.115;Malicious;Block
179.43.152.115 #100;1339;7;https://www.abuseipdb.com/check/179.43.152.115;https://otx.alienvault.com/indicator/ip/179.43.152.115;Malicious;Block
179.43.152.115 #100;1339;7;https://www.abuseipdb.com/check/179.43.152.115;https://otx.alienvault.com/indicator/ip/179.43.152.115;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
179.43.152.115 #100;1339;7;https://www.abuseipdb.com/check/179.43.152.115;https://otx.alienvault.com/indicator/ip/179.43.152.115;Malicious;Block
179.43.152.115 #100;1339;7;https://www.abuseipdb.com/check/179.43.152.115;https://otx.alienvault.com/indicator/ip/179.43.152.115;Malicious;Block
179.43.152.115 #100;1339;7;https://www.abuseipdb.com/check/179.43.152.115;https://otx.alienvault.com/indicator/ip/179.43.152.115;Malicious;Block
179.43.152.115 #100;1339;7;https://www.abuseipdb.com/check/179.43.152.115;https://otx.alienvault.com/indicator/ip/179.43.152.115;Malicious;Block
179.43.152.115 #100;1339;7;https://www.abuseipdb.com/check/179.43.152.115;https://otx.alienvault.com/indicator/ip/179.43.152.115;Malicious;Block
179.43.152.115 #100;1339;7;https://www.abuseipdb.com/check/179.43.152.115;https://otx.alienvault.com/indicator/ip/179.43.152.115;Malicious;Block
178.62.60.111 #100;55;0;https://www.abuseipdb.com/check/178.62.60.111;https://otx.alienvault.com/indicator/ip/178.62.60.111;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
45.148.10.42 #100;3334;31;https://www.abuseipdb.com/check/45.148.10.42;https://otx.alienvault.com/indicator/ip/45.148.10.42;Malicious;Block
